[2024-03-04 12:51:48.472]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:51:48.492]	 Removing "tmux-sensible"
[2024-03-04 12:51:48.493]	   "tmux-sensible" clean success
[2024-03-04 12:51:48.494]	 Removing "tmux-sessionx"
[2024-03-04 12:51:48.496]	   "tmux-sessionx" clean success
[2024-03-04 12:51:48.508]	 Done.

[2024-03-04 12:52:06.663]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:52:06.674]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:52:06.948]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:52:06.960]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:52:06.983]	 Already installed "tpm"
[2024-03-04 12:52:06.983]	 Already installed "tmux-sensible"
[2024-03-04 12:52:06.983]	 Already installed "tmux-sessionx"
[2024-03-04 12:52:06.996]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:52:06.694]	 Installing "tmux-sensible"
[2024-03-04 12:52:06.694]	 Installing "tmux-sessionx"
[2024-03-04 12:52:06.695]	 Already installed "tpm"
[2024-03-04 12:52:07.664]	   "tmux-sensible" download success
[2024-03-04 12:52:07.858]	   "tmux-sessionx" download success
[2024-03-04 12:52:07.868]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:52:07.008]	 Updating all plugins!
[2024-03-04 12:52:07.008]	 
[2024-03-04 12:52:07.659]	   "tmux-sensible" update fail
[2024-03-04 12:52:07.660]	     | From https://github.com/tmux-plugins/tmux-sensible
[2024-03-04 12:52:07.660]	     |  * branch            HEAD       -> FETCH_HEAD
[2024-03-04 12:52:07.660]	     | error: The following untracked working tree files would be overwritten by merge:
[2024-03-04 12:52:07.660]	     | 	.gitattributes
[2024-03-04 12:52:07.660]	     | 	CHANGELOG.md
[2024-03-04 12:52:07.660]	     | 	LICENSE.md
[2024-03-04 12:52:07.660]	     | 	README.md
[2024-03-04 12:52:07.660]	     | 	sensible.tmux
[2024-03-04 12:52:07.660]	     | Please move or remove them before you merge.
[2024-03-04 12:52:07.660]	     | Aborting
[2024-03-04 12:52:07.686]	   "tpm" update success
[2024-03-04 12:52:07.687]	     | Already up to date.
[2024-03-04 12:52:08.088]	   "tmux-sessionx" update fail
[2024-03-04 12:52:08.089]	     | From https://github.com/omerxx/tmux-sessionx
[2024-03-04 12:52:08.089]	     |  * branch            HEAD       -> FETCH_HEAD
[2024-03-04 12:52:08.089]	     | error: The following untracked working tree files would be overwritten by merge:
[2024-03-04 12:52:08.089]	     | 	.gitignore
[2024-03-04 12:52:08.089]	     | 	LICENSE
[2024-03-04 12:52:08.089]	     | 	README.md
[2024-03-04 12:52:08.089]	     | 	flake.lock
[2024-03-04 12:52:08.089]	     | 	flake.nix
[2024-03-04 12:52:08.089]	     | 	img/sessionxv2.png
[2024-03-04 12:52:08.089]	     | 	scripts/preview.sh
[2024-03-04 12:52:08.089]	     | 	scripts/reload_sessions.sh
[2024-03-04 12:52:08.089]	     | 	scripts/sessionx.sh
[2024-03-04 12:52:08.089]	     | 	sessionx.tmux
[2024-03-04 12:52:08.089]	     | Please move or remove them before you merge.
[2024-03-04 12:52:08.089]	     | Aborting
[2024-03-04 12:52:08.099]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:52:08.130]	 Done.

[2024-03-04 12:52:07.876]	 Updating all plugins!
[2024-03-04 12:52:07.876]	 
[2024-03-04 12:52:08.641]	   "tmux-sessionx" update success
[2024-03-04 12:52:08.646]	     | Already up to date.
[2024-03-04 12:52:08.659]	   "tpm" update success
[2024-03-04 12:52:08.661]	     | Already up to date.
[2024-03-04 12:52:09.138]	   "tmux-sensible" update success
[2024-03-04 12:52:09.144]	     | Already up to date.
[2024-03-04 12:52:09.176]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:52:09.198]	 Removing "tmux-sensible"
[2024-03-04 12:52:09.199]	   "tmux-sensible" clean success
